"UID","NumShifts","V_Durations","V_Intervals","V_Hours","ROT_NM","QUARTER","ROLE","SOURCE"
1,16,2,0,0,"E",1,"Sr FLC","ERS"
2,21,5,3,0,"A",3,"Jr FLC","ERS"
3,17,3,0,0,"M",4,"Sr FLC","ERS"
4,23,1,0,0,"D",1,"Jr FLC","ERS"
5,23,1,0,0,"F",4,"Jr FLC","ERS"
6,22,1,0,0,"B",3,"Jr FLC","ERS"
7,23,1,0,0,"F",1,"Jr FLC","ERS"
8,23,0,0,0,"C",4,"Sr FLC","ERS"
9,19,0,0,0,"G",2,"Jr FLC","ERS"
10,20,0,2,0,"C",3,"Sr FLC","ERS"
11,18,1,0,0,"G",1,"Jr FLC","ERS"
12,20,0,0,0,"A",2,"Jr FLC","ERS"
13,17,4,0,0,"H",2,"Sr FLC","ERS"
14,19,1,0,0,"E",2,"Sr FLC","ERS"
15,22,0,1,0,"C",2,"Sr FLC","ERS"
16,22,1,0,0,"A",3,"Jr FLC","ERS"
17,19,0,0,0,"N",3,"Sr FLC","ERS"
18,20,0,0,0,"A",3,"Jr FLC","ERS"
19,21,0,0,0,"A",3,"Jr FLC","ERS"
20,15,0,0,0,"H",3,"Sr FLC","ERS"
21,20,2,0,0,"J",2,"Sr FLC","ERS"
22,19,2,0,0,"J",1,"Sr FLC","ERS"
23,20,0,0,0,"A",2,"Jr FLC","ERS"
24,18,0,0,0,"G",3,"Jr FLC","ERS"
25,22,0,0,0,"C",4,"Sr FLC","ERS"
26,22,0,0,0,"A",4,"Jr FLC","ERS"
27,20,3,1,0,"I",4,"Sr FLC","ERS"
28,20,2,0,0,"J",4,"Sr FLC","ERS"
29,24,2,1,1,"A",2,"Jr FLC","ERS"
30,23,0,0,0,"B",3,"Jr FLC","ERS"
31,17,3,0,0,"H",2,"Sr FLC","ERS"
32,16,2,0,0,"I",4,"Sr FLC","ERS"
33,22,0,0,0,"D",3,"Jr FLC","ERS"
34,17,0,0,0,"H",1,"Sr FLC","ERS"
35,22,1,0,0,"D",1,"Jr FLC","ERS"
36,17,1,0,0,"I",1,"Sr FLC","ERS"
37,20,0,0,0,"A",1,"Jr FLC","ERS"
38,17,0,0,0,"A",1,"Jr FLC","ERS"
39,22,0,0,0,"G",4,"Jr FLC","ERS"
40,16,5,0,0,"M",2,"Sr FLC","ERS"
41,24,0,0,0,"F",2,"Jr FLC","ERS"
42,15,3,0,0,"L",1,"Sr FLC","ERS"
43,23,0,0,0,"D",2,"Jr FLC","ERS"
44,20,0,0,0,"A",3,"Jr FLC","ERS"
45,16,0,0,0,"D",1,"Jr FLC","ERS"
46,21,2,2,0,"G",3,"Jr FLC","ERS"
47,17,7,0,0,"M",2,"Sr FLC","ERS"
48,22,0,0,0,"C",1,"Sr FLC","ERS"
49,22,2,0,0,"J",4,"Sr FLC","ERS"
50,17,1,0,0,"G",1,"Jr FLC","ERS"
51,17,3,0,0,"E",2,"Sr FLC","ERS"
52,15,2,0,0,"K",1,"Sr FLC","ERS"
53,22,2,1,0,"A",3,"Jr FLC","ERS"
54,17,2,1,0,"H",2,"Sr FLC","ERS"
55,21,0,0,0,"F",3,"Jr FLC","ERS"
56,20,2,2,0,"B",2,"Jr FLC","ERS"
57,20,0,0,0,"G",2,"Jr FLC","ERS"
58,18,1,0,0,"J",3,"Sr FLC","ERS"
59,12,2,0,0,"H",2,"Sr FLC","ERS"
60,23,0,1,0,"A",2,"Jr FLC","ERS"
61,17,1,0,0,"J",2,"Sr FLC","ERS"
62,21,0,0,0,"D",1,"Jr FLC","ERS"
63,20,0,0,0,"G",1,"Jr FLC","ERS"
64,13,2,0,0,"H",3,"Sr FLC","ERS"
65,19,0,1,0,"C",1,"Sr FLC","ERS"
66,17,0,0,0,"A",1,"Jr FLC","ERS"
67,15,5,0,0,"L",3,"Sr FLC","ERS"
68,23,0,0,0,"G",4,"Jr FLC","ERS"
69,17,2,0,0,"E",1,"Sr FLC","ERS"
70,23,2,1,0,"F",1,"Jr FLC","ERS"
71,21,1,0,0,"D",2,"Jr FLC","ERS"
72,16,2,0,0,"M",4,"Sr FLC","ERS"
73,20,2,0,0,"J",2,"Sr FLC","ERS"
74,17,0,0,0,"L",1,"Sr FLC","ERS"
75,19,6,0,0,"L",4,"Sr FLC","ERS"
76,18,0,1,0,"H",1,"Sr FLC","ERS"
77,20,1,0,0,"J",4,"Sr FLC","ERS"
78,21,0,0,0,"A",2,"Jr FLC","ERS"
79,23,0,0,0,"G",3,"Jr FLC","ERS"
80,24,1,1,0,"A",2,"Jr FLC","ERS"
81,22,0,0,0,"B",4,"Jr FLC","ERS"
82,17,2,0,0,"J",3,"Sr FLC","ERS"
83,23,1,0,0,"F",2,"Jr FLC","ERS"
84,17,4,0,0,"E",3,"Sr FLC","ERS"
85,19,1,0,0,"C",2,"Sr FLC","ERS"
86,22,1,0,0,"N",2,"Sr FLC","ERS"
87,18,4,0,0,"L",4,"Sr FLC","ERS"
88,22,1,0,0,"F",1,"Jr FLC","ERS"
89,16,0,0,0,"B",4,"Jr FLC","ERS"
90,22,0,0,0,"C",1,"Sr FLC","ERS"
91,23,0,0,0,"B",4,"Jr FLC","ERS"
92,22,0,0,0,"F",3,"Jr FLC","ERS"
93,17,2,0,0,"H",4,"Sr FLC","ERS"
94,23,0,0,0,"G",4,"Jr FLC","ERS"
95,21,0,0,0,"D",3,"Jr FLC","ERS"
96,19,0,0,0,"F",4,"Jr FLC","ERS"
97,24,0,1,0,"C",4,"Sr FLC","ERS"
98,14,0,0,0,"G",1,"Jr FLC","ERS"
99,24,0,0,0,"F",2,"Jr FLC","ERS"
100,17,0,0,0,"D",1,"Jr FLC","ERS"
101,19,0,0,0,"N",3,"Sr FLC","ERS"
102,21,0,0,0,"D",3,"Jr FLC","ERS"
103,23,2,1,0,"A",1,"Jr FLC","ERS"
104,22,2,2,0,"D",4,"Jr FLC","ERS"
105,13,3,0,0,"H",3,"Sr FLC","ERS"
106,23,0,0,0,"G",3,"Jr FLC","ERS"
107,18,3,0,0,"J",1,"Sr FLC","ERS"
108,23,0,0,0,"F",1,"Jr FLC","ERS"
109,14,2,0,0,"E",3,"Sr FLC","ERS"
110,23,1,1,0,"G",1,"Jr FLC","ERS"
111,21,0,0,0,"F",3,"Jr FLC","ERS"
112,14,0,0,0,"B",1,"Jr FLC","ERS"
113,16,4,0,0,"L",4,"Sr FLC","ERS"
114,24,0,0,0,"B",2,"Jr FLC","ERS"
115,24,1,0,0,"F",2,"Jr FLC","ERS"
116,19,3,0,0,"E",4,"Sr FLC","ERS"
117,24,1,0,0,"G",3,"Jr FLC","ERS"
118,16,2,0,0,"M",2,"Sr FLC","ERS"
119,23,0,0,0,"F",4,"Jr FLC","ERS"
120,17,4,0,0,"L",3,"Sr FLC","ERS"
121,23,2,1,0,"A",2,"Jr FLC","ERS"
122,14,0,0,0,"B",2,"Jr FLC","ERS"
123,20,0,0,0,"A",2,"Jr FLC","ERS"
124,20,1,0,0,"J",1,"Sr FLC","ERS"
125,23,1,0,0,"F",1,"Jr FLC","ERS"
126,22,1,0,0,"C",4,"Sr FLC","ERS"
127,16,4,0,0,"K",3,"Sr FLC","ERS"
128,20,0,0,0,"J",3,"Sr FLC","ERS"
129,16,3,0,0,"E",1,"Sr FLC","ERS"
130,16,4,0,0,"I",4,"Sr FLC","ERS"
131,24,0,0,0,"D",2,"Jr FLC","ERS"
132,15,2,0,0,"E",3,"Sr FLC","ERS"
133,16,1,0,0,"F",4,"Jr FLC","ERS"
134,23,0,0,0,"B",4,"Jr FLC","ERS"
135,24,0,0,0,"C",4,"Sr FLC","ERS"
136,23,0,0,0,"D",1,"Jr FLC","ERS"
137,20,3,0,0,"J",1,"Sr FLC","ERS"
138,23,1,0,0,"F",1,"Jr FLC","ERS"
139,20,0,0,0,"J",4,"Sr FLC","ERS"
140,23,1,0,0,"D",4,"Jr FLC","ERS"
141,20,0,0,0,"N",3,"Sr FLC","ERS"
142,17,3,0,0,"M",4,"Sr FLC","ERS"
143,17,2,0,0,"E",1,"Sr FLC","ERS"
144,14,6,0,0,"M",1,"Sr FLC","ERS"
145,17,0,0,0,"K",4,"Sr FLC","ERS"
146,20,0,0,0,"D",2,"Jr FLC","ERS"
147,24,5,3,1,"F",2,"Jr FLC","ERS"
148,16,6,0,0,"L",2,"Sr FLC","ERS"
149,23,0,0,0,"A",1,"Jr FLC","ERS"
150,21,1,0,0,"B",3,"Jr FLC","ERS"
151,18,1,0,0,"B",1,"Jr FLC","ERS"
152,14,0,0,0,"A",1,"Jr FLC","ERS"
153,22,0,0,0,"G",2,"Jr FLC","ERS"
154,17,5,0,0,"H",4,"Sr FLC","ERS"
155,17,5,0,0,"M",4,"Sr FLC","ERS"
156,17,4,0,0,"I",3,"Sr FLC","ERS"
157,15,2,0,0,"E",1,"Sr FLC","ERS"
